model,candidate,params,mean_cv_mae,fold_1_mae,fold_2_mae,fold_3_mae
Random Forest,0,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 100}",4.569103379692635,4.079401054805458,5.126936231744403,4.500972852528043
Random Forest,1,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 8, ""n_estimators"": 100}",4.578126396041647,4.143531242019356,5.098897164455401,4.491950781650181
Random Forest,2,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 100}",4.6067915773513715,4.17588392072094,5.115595421940084,4.5288953893930906
Random Forest,3,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 100}",4.596131196781218,4.123126455856138,5.124605371552956,4.540661762934559
Random Forest,4,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 100}",4.569575585620583,4.086233765251436,5.162963269000966,4.459529722609347
Random Forest,5,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 100}",4.605333099893304,4.142021111258356,5.172090442890442,4.501887745531113
Random Forest,6,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""n_estimators"": 100}",4.595719381565704,4.139782430020803,5.146527724546387,4.500847990129923
Random Forest,7,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""n_estimators"": 100}",4.587537631459971,4.147695051741256,5.138360994430835,4.476556848207821
Random Forest,8,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""n_estimators"": 100}",4.588513950355946,4.143489445832817,5.150460428748732,4.471591976486287
Random Forest,9,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 100}",4.572614342536214,4.114570791607675,5.168690158289534,4.434582077711434
Random Forest,10,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""n_estimators"": 200}",4.57458344167912,4.143104375689023,5.109219702774359,4.471426246573978
Random Forest,11,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 200}",4.559853109311678,4.096101000552953,5.110476183570367,4.472982143811714
Random Forest,12,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",4.582117110918414,4.127203418685846,5.1305617165075015,4.488586197561895
Random Forest,13,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 200}",4.5941627327105286,4.16712266308769,5.151157868838907,4.46420766620499
Random Forest,14,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 200}",4.566855272597788,4.095931867213585,5.1054147539659755,4.4992191966138035
Random Forest,15,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""n_estimators"": 100}",4.590837804120537,4.141451843925022,5.131189232234125,4.499872336202463
Random Forest,16,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 100}",4.645904761904762,4.235408163265307,5.1811224489795915,4.521183673469387
