split,dish,model,observations,MAE,RMSE,WAPE_pct,negative_predictions
validation,ALL,Naive T1,798,7.644110275689223,11.497847679158602,42.232068679036274,0
validation,CALAMARI,Naive T1,114,2.526315789473684,3.55656053048694,64.86486486486487,0
validation,FISH,Naive T1,114,2.7280701754385963,3.735791797046135,63.21138211382114,0
validation,PRAWNS,Naive T1,114,5.271929824561403,6.843488389215937,45.221971407072985,0
validation,CHICKEN,Naive T1,114,13.18421052631579,18.669564311438748,41.738405998333796,0
validation,KOFTA,Naive T1,114,8.263157894736842,10.695137442421238,45.507246376811594,0
validation,LAMB,Naive T1,114,12.921052631578947,16.23322345868648,36.02347762289068,0
validation,STEAK,Naive T1,114,8.614035087719298,11.203069754751354,40.59528730880529,0
validation,ALL,Seasonal T7,798,6.394736842105263,9.546154863697963,35.32954860149543,0
validation,CALAMARI,Seasonal T7,114,2.245614035087719,3.0,57.65765765765766,0
validation,FISH,Seasonal T7,114,2.43859649122807,3.446330364671405,56.50406504065041,0
validation,PRAWNS,Seasonal T7,114,4.991228070175438,5.89900378149015,42.81414597441685,0
validation,CHICKEN,Seasonal T7,114,10.517543859649123,15.572411502397436,33.296306581505135,0
validation,KOFTA,Seasonal T7,114,6.991228070175438,9.118614083676178,38.5024154589372,0
validation,LAMB,Seasonal T7,114,10.210526315789474,12.372862211236558,28.46661775495231,0
validation,STEAK,Seasonal T7,114,7.368421052631579,10.173063848722048,34.725093013642,0
validation,ALL,Ridge,798,4.954089116003141,7.092024393249918,27.37027910946072,20
validation,CALAMARI,Ridge,114,2.4153574816652843,3.2980674859438195,62.0159353400546,11
validation,FISH,Ridge,114,2.6375299414340287,3.623541922872079,61.113498642983586,9
validation,PRAWNS,Ridge,114,3.770405804547817,4.719306779762619,32.34208139341243,0
validation,CHICKEN,Ridge,114,7.11072557793228,10.82377196644703,22.511044595509023,0
validation,KOFTA,Ridge,114,5.551358539946352,6.7128099486570525,30.572699205501646,0
validation,LAMB,Ridge,114,7.645877169891133,9.567140676317191,21.31645872750279,0
validation,STEAK,Ridge,114,5.547369296605095,7.214739812503417,26.143038437907435,0
validation,ALL,Random Forest,798,4.785022850896383,7.079621646156696,26.43622428008387,0
validation,CALAMARI,Random Forest,114,1.8715087223290168,2.3252082291935308,48.052250978718,0
validation,FISH,Random Forest,114,1.8316780846048244,2.4817991246746454,42.44132147255081,0
validation,PRAWNS,Random Forest,114,3.6508663104282553,4.418441489293304,31.31668618426043,0
validation,CHICKEN,Random Forest,114,6.99904582263581,10.586233934248744,22.157490246611562,0
validation,KOFTA,Random Forest,114,5.823239297168962,7.083942001976271,32.070013520640664,0
validation,LAMB,Random Forest,114,7.893653955963069,10.339527478388392,22.007252408407677,0
validation,STEAK,Random Forest,114,5.425167763144747,7.113532279824677,25.567140347188968,0
validation,ALL,XGBoost,798,4.995833396911621,7.312281678682015,27.600906897832466,0
validation,CALAMARI,XGBoost,114,1.8637957572937012,2.3755678200809074,47.85421445026054,0
validation,FISH,XGBoost,114,1.982497215270996,2.6162244248905795,45.93591091594076,0
validation,PRAWNS,XGBoost,114,3.5253584384918213,4.341270342778357,30.2400939530946,0
validation,CHICKEN,XGBoost,114,7.680463790893555,11.192728025130034,24.314712888828353,0
validation,KOFTA,XGBoost,114,5.661925792694092,6.826339523155905,31.181623210077703,0
validation,LAMB,XGBoost,114,8.74972915649414,10.860206451420732,24.39396212870056,0
validation,STEAK,XGBoost,114,5.507062911987305,7.289137338006756,25.953089160927075,0
test,ALL,Naive T1,798,7.050125313283208,10.270282213350061,39.38396919845992,0
